code;municipal;zone;section;name;census;abstentions;v_cast;v_invalid;v_valid;v_white
1;ABAIGAR;1;1;U;77;19;58;0;58;2
2;ABARZUZA;1;1;U;452;227;225;1;224;0
3;ABAURREGAINA / ABAURREA ALTA;1;1;U;155;43;112;5;107;4
4;ABAURREPEA / ABAURREA BAJA;1;1;U;44;14;30;0;30;1
5;ABERIN;1;1;U;305;140;165;2;163;2
6;ABLITAS;1;1;U;505;122;383;2;381;5
6;ABLITAS;2;1;A;737;150;587;4;583;6
6;ABLITAS;2;1;B;702;124;578;3;575;18
7;ADIOS;1;1;U;114;27;87;2;85;0
8;AGUILAR DE CODES;1;1;U;99;43;56;0;56;0
9;AIBAR / OIBAR;1;1;A;406;130;276;0;276;8
9;AIBAR / OIBAR;1;1;B;381;108;273;2;271;3
10;ALTSASU / ALSASUA;1;1;A;709;230;479;1;478;12
10;ALTSASU / ALSASUA;1;1;B;711;249;462;4;458;5
10;ALTSASU / ALSASUA;1;2;A;475;178;297;3;294;9
10;ALTSASU / ALSASUA;1;2;B;515;198;317;11;306;8
10;ALTSASU / ALSASUA;2;1;A;521;180;341;5;336;9
10;ALTSASU / ALSASUA;2;1;B;526;154;372;9;363;9
10;ALTSASU / ALSASUA;2;2;A;523;185;338;9;329;1
10;ALTSASU / ALSASUA;2;2;B;531;201;330;9;321;6
10;ALTSASU / ALSASUA;2;2;C;517;197;320;8;312;7
10;ALTSASU / ALSASUA;2;3;U;779;336;443;10;433;4
11;ALLIN;1;1;A;371;151;220;0;220;6
11;ALLIN;1;1;B;368;129;239;1;238;6
12;ALLO;1;1;A;458;118;340;7;333;6
12;ALLO;1;1;B;478;109;369;3;366;7
13;AMESCOA BAJA;1;1;A;361;171;190;4;186;6
13;AMESCOA BAJA;1;1;B;365;186;179;3;176;4
14;ANCIN;1;1;U;261;103;158;0;158;3
15;ANDOSILLA;1;1;A;423;117;306;1;305;6
15;ANDOSILLA;1;1;B;494;154;340;6;334;5
15;ANDOSILLA;2;1;A;578;185;393;5;388;9
15;ANDOSILLA;2;1;B;597;133;464;1;463;18
16;ANSOAIN;1;1;A;756;325;431;1;430;8
16;ANSOAIN;1;1;B;823;367;456;2;454;10
16;ANSOAIN;1;2;A;770;314;456;6;450;11
16;ANSOAIN;1;2;B;893;369;524;2;522;15
16;ANSOAIN;1;3;A;1135;484;651;7;644;20
16;ANSOAIN;1;3;B;1124;466;658;8;650;23
17;ANUE;1;1;U;374;145;229;0;229;6
18;AÑORBE;1;1;U;390;68;322;2;320;8
19;AOIZ / AGOITZ;1;1;U;631;117;514;9;505;29
19;AOIZ / AGOITZ;2;1;U;927;180;747;7;740;17
20;ARAITZ;1;1;U;552;187;365;9;356;8
21;ARANARACHE;1;1;U;89;31;58;0;58;3
